t,y,vy,Ec,Ek,Ep
0.00,227.53,-9.89,783448.98,11241.70,772207.29
0.50,220.13,-19.67,783448.96,44479.78,738969.18
1.00,207.89,-29.23,783448.94,98274.36,685174.59
1.50,190.95,-38.48,783448.93,170294.99,613153.93
2.00,169.48,-47.31,783448.91,257421.68,526027.22
2.50,143.72,-55.63,783448.89,355880.03,427568.86
3.00,113.95,-63.34,783448.87,461404.73,322044.14
3.50,80.50,-70.37,783448.85,569424.36,214024.49
4.00,43.72,-76.63,783448.83,675259.42,108189.42
4.50,4.01,-82.06,783448.82,774325.03,9123.79
5.00,-38.19,-86.59,783448.80,862329.59,-78880.79
5.50,-82.43,-90.19,783448.78,935460.66,-152011.88
6.00,-128.22,-92.81,783448.76,990550.15,-207101.39
6.50,-175.07,-94.42,783448.74,1025211.52,-241762.78
7.00,-222.47,-95.00,783448.72,1037943.22,-254494.50
7.50,-269.90,-94.56,783448.70,1028193.70,-244744.99
8.00,-316.85,-93.08,783448.69,996385.31,-212936.63
8.50,-362.81,-90.60,783448.67,943896.03,-160447.36
9.00,-407.29,-87.13,783448.65,872999.74,-89551.09
9.50,-449.78,-82.71,783448.63,786767.72,-3319.09
10.00,-489.85,-77.40,783448.61,688935.62,94512.99
10.50,-527.04,-71.25,783448.59,583741.62,199706.97
11.00,-560.97,-64.32,783448.57,475742.81,307705.77
11.50,-591.25,-56.69,783448.56,369617.79,413830.77
12.00,-617.56,-48.45,783448.54,269963.99,513484.54
12.50,-639.61,-39.68,783448.52,181098.51,602350.01
13.00,-657.17,-30.48,783448.50,106871.06,676577.44
13.50,-670.04,-20.95,783448.48,50497.25,732951.24
14.00,-678.08,-11.20,783448.46,14419.23,769029.23
14.50,-681.22,-1.32,783448.45,199.95,783248.50
15.00,-679.40,8.57,783448.43,8455.38,774993.05
15.50,-672.66,18.37,783448.41,38827.90,744620.51
16.00,-661.06,27.98,783448.39,90001.74,693446.65
16.50,-644.73,37.27,783448.37,159760.00,623688.37
17.00,-623.85,46.16,783448.35,245080.70,538367.66
17.50,-598.65,54.55,783448.33,342267.66,441180.68
18.00,-569.40,62.35,783448.32,447110.66,336337.66
18.50,-536.41,69.47,783448.30,555067.81,228380.49
19.00,-500.05,75.84,783448.28,661462.31,121985.97
19.50,-460.71,81.38,783448.26,761685.06,21763.20
20.00,-418.81,86.04,783448.24,851394.32,-67946.08
20.50,-374.82,89.77,783448.22,926703.81,-143255.58
21.00,-329.21,92.52,783448.20,984351.05,-200902.84
21.50,-282.47,94.26,783448.19,1021838.71,-238390.53
22.00,-235.12,94.98,783448.17,1037542.81,-254094.64
22.50,-187.66,94.67,783448.15,1030783.02,-247334.87
23.00,-140.61,93.34,783448.13,1001852.18,-218404.04
23.50,-94.49,90.99,783448.11,952003.60,-168555.49
24.00,-49.79,87.65,783448.09,883396.77,-99948.68
24.50,-7.00,83.35,783448.08,799003.80,-15555.72
