t = 0, h = 100, v = 0 m/s
t = 0.1, h = 99.9019, v = -0.981 m/s
t = 0.2, h = 99.7057, v = -1.962 m/s
t = 0.3, h = 99.4114, v = -2.943 m/s
t = 0.4, h = 99.019, v = -3.924 m/s
t = 0.5, h = 98.5285, v = -4.905 m/s
t = 0.6, h = 97.9399, v = -5.886 m/s
t = 0.7, h = 97.2532, v = -6.867 m/s
t = 0.8, h = 96.4684, v = -7.848 m/s
t = 0.9, h = 95.5855, v = -8.829 m/s
t = 1, h = 94.6045, v = -9.81 m/s
t = 1.1, h = 93.5254, v = -10.791 m/s
t = 1.2, h = 92.3482, v = -11.772 m/s
t = 1.3, h = 91.0729, v = -12.753 m/s
t = 1.4, h = 89.6995, v = -13.734 m/s
t = 1.5, h = 88.228, v = -14.715 m/s
t = 1.6, h = 86.6584, v = -15.696 m/s
t = 1.7, h = 84.9907, v = -16.677 m/s
t = 1.8, h = 83.2249, v = -17.658 m/s
t = 1.9, h = 81.361, v = -18.639 m/s
t = 2, h = 79.399, v = -19.62 m/s
t = 2.1, h = 77.3389, v = -20.601 m/s
t = 2.2, h = 75.1807, v = -21.582 m/s
t = 2.3, h = 72.9244, v = -22.563 m/s
t = 2.4, h = 70.57, v = -23.544 m/s
t = 2.5, h = 68.1175, v = -24.525 m/s
t = 2.6, h = 65.5669, v = -25.506 m/s
t = 2.7, h = 62.9182, v = -26.487 m/s
t = 2.8, h = 60.1714, v = -27.468 m/s
t = 2.9, h = 57.3265, v = -28.449 m/s
t = 3, h = 54.3835, v = -29.43 m/s
t = 3.1, h = 51.3424, v = -30.411 m/s
t = 3.2, h = 48.2032, v = -31.392 m/s
t = 3.3, h = 44.9659, v = -32.373 m/s
t = 3.4, h = 41.6305, v = -33.354 m/s
t = 3.5, h = 38.197, v = -34.335 m/s
t = 3.6, h = 34.6654, v = -35.316 m/s
t = 3.7, h = 31.0357, v = -36.297 m/s
t = 3.8, h = 27.3079, v = -37.278 m/s
t = 3.9, h = 23.482, v = -38.259 m/s
t = 4, h = 19.558, v = -39.24 m/s
t = 4.1, h = 15.5359, v = -40.221 m/s
t = 4.2, h = 11.4157, v = -41.202 m/s
t = 4.3, h = 7.1974, v = -42.183 m/s
t = 4.4, h = 2.881, v = -43.164 m/s
Obiekt udezyl w ziemie po: 4.5sekundach;
